Departure,Arrival,Airline,Plane,Departure_Date,Arrival_Date,Number,IATA
GIT,BSR,MU,A346,2025-04-07T04:36:38,2025-04-07T09:13:16,6567,MU6567
GIT,RKH,OO,DC-9,2025-04-07T13:58:04,2025-04-08T03:56:08,2079,OO2079
MMX,WBM,CK,B773,2025-04-03T14:43:36,2025-04-04T05:27:12,4701,CK4701
MMX,SFK,HX,EMB,2025-04-02T09:29:39,2025-04-02T18:59:18,4973,HX4973
MMX,SUY,AF,MD-11,2025-04-07T06:06:47,2025-04-07T12:13:34,2520,AF2520
MMX,ZMT,EI,717,2025-04-01T08:26:44,2025-04-01T16:53:28,4384,EI4384
MMX,KYP,OZ,E175,2025-04-05T08:39:49,2025-04-05T17:19:38,5588,OZ5588
MMX,MLO,YV,MD83,2025-04-03T02:33:50,2025-04-03T05:07:40,4691,YV4691
MMX,YSG,Y4,B735,2025-04-02T06:51:24,2025-04-02T13:42:48,5800,Y45800
MMX,CDJ,FJ,MD-87,2025-04-02T10:22:30,2025-04-02T20:45:00,1833,FJ1833
MMX,RKH,QF,A343,2025-04-06T08:05:54,2025-04-06T16:11:48,6179,QF6179
MMX,KDH,NK,IL-96,2025-04-03T05:30:10,2025-04-03T11:00:20,5339,NK5339
MMX,FAB,NH,MD-90,2025-04-05T01:11:28,2025-04-05T02:22:56,7016,NH7016
MMX,BOW,FX,A300,2025-04-06T08:50:59,2025-04-06T17:41:58,5624,FX5624
MMX,YNS,DL,B748,2025-04-03T06:14:59,2025-04-03T12:29:58,9353,DL9353
SAY,CBR,RW,A343,2025-04-02T18:33:23,2025-04-03T13:06:46,5240,RW5240
SAY,AIZ,NH,B777,2025-04-01T09:16:19,2025-04-01T18:32:38,4531,NH4531
SAY,HCJ,WW,DC10,2025-04-07T09:48:58,2025-04-07T19:37:56,1983,WW1983
SAY,LDY,NH,A319,2025-04-02T02:07:01,2025-04-02T04:14:02,2476,NH2476
SAY,BJI,KZ,A346,2025-04-01T08:38:33,2025-04-01T17:17:06,5587,KZ5587
SAY,SKS,5X,A310,2025-04-07T01:31:13,2025-04-07T03:02:26,8684,5X8684
SAY,HIN,AF,A319,2025-04-01T10:27:51,2025-04-01T20:55:42,1850,AF1850
SAY,SJE,NZ,SSR-100,2025-04-01T10:35:13,2025-04-01T21:10:26,8386,NZ8386
SAY,JGO,FI,A310,2025-04-03T05:13:25,2025-04-03T10:26:50,6694,FI6694
SAY,AVL,ER,767,2025-04-01T08:43:17,2025-04-01T17:26:34,1973,ER1973
YPD,TDJ,BA,DC-9,2025-04-02T13:02:07,2025-04-03T02:04:14,2319,BA2319
YPD,ROP,AM,A343,2025-04-03T13:38:21,2025-04-04T03:16:42,8327,AM8327
YPD,HIW,EI,A333,2025-04-01T12:01:41,2025-04-02T00:03:22,5714,EI5714
YPD,CMU,5X,B737,2025-04-04T15:46:27,2025-04-05T07:32:54,9135,5X9135
YPD,HIW,DH,767,2025-04-07T12:01:41,2025-04-08T00:03:22,5531,DH5531
YPD,YYR,MT,A333,2025-04-01T01:53:12,2025-04-01T03:46:24,9245,MT9245
YPD,BSR,AB,764,2025-04-01T11:25:47,2025-04-01T22:51:34,5902,AB5902
YPD,GWL,CZ,E190,2025-04-03T13:21:25,2025-04-04T02:42:50,5421,CZ5421
YPD,AFS,VS,A124,2025-04-07T11:02:31,2025-04-07T22:05:02,3851,VS3851
YPD,WDH,NZ,PA-31,2025-04-03T13:59:37,2025-04-04T03:59:14,5770,NZ5770
YPD,NKC,YV,A330,2025-04-07T07:26:01,2025-04-07T14:52:02,4713,YV4713
CNI,SFS,XP,A332,2025-04-07T03:06:13,2025-04-07T06:12:26,6047,XP6047
CNI,ALM,KR,A346,2025-04-04T11:59:55,2025-04-04T23:59:50,4225,KR4225
CNI,RAR,4O,L1011,2025-04-01T11:54:04,2025-04-01T23:48:08,2116,4O2116
CNI,SZT,LH,DC-8,2025-04-02T14:32:38,2025-04-03T05:05:16,9123,LH9123
CNI,TFF,A8,MD-90,2025-04-04T18:07:53,2025-04-05T12:15:46,2736,A82736
CNI,EIK,G4,MD-90,2025-04-05T07:28:57,2025-04-05T14:57:54,4668,G44668
CNI,IXS,bxr,DC10,2025-04-07T03:38:04,2025-04-07T07:16:08,5133,bxr5133
CNI,CBU,AY,767,2025-04-02T08:47:20,2025-04-02T17:34:40,3051,AY3051
CNI,RBR,TZ,MD90,2025-04-07T18:50:35,2025-04-08T13:41:10,2072,TZ2072
CNI,SJE,HA,A380,2025-04-05T17:09:55,2025-04-06T10:19:50,9945,HA9945
CNI,FAB,EY,CRJ7,2025-04-03T09:42:54,2025-04-03T19:25:48,8876,EY8876
CNI,APL,CM,L1011,2025-04-02T11:56:36,2025-04-02T23:53:12,6748,CM6748
FRU,AIZ,AB,AN-124,2025-04-07T12:22:55,2025-04-08T00:45:50,3778,AB3778
FRU,VOK,CX,B753,2025-04-01T11:36:59,2025-04-01T23:13:58,1362,CX1362
FRU,PTZ,RW,MD90,2025-04-04T16:38:56,2025-04-05T09:17:52,2828,RW2828
FRU,NKW,QK,MD90,2025-04-07T06:22:10,2025-04-07T12:44:20,8779,QK8779
FRU,STW,AA,757,2025-04-04T02:55:45,2025-04-04T05:51:30,9257,AA9257
FRU,HIN,SK,737,2025-04-04T05:15:42,2025-04-04T10:31:24,3469,SK3469
FRU,FRU,CM,B742,2025-04-05T00:00:00,2025-04-05T00:00:00,5172,CM5172
FRU,QPD,CP,764,2025-04-03T14:05:19,2025-04-04T04:10:38,2007,CP2007
FRU,IPL,G4,B736,2025-04-01T13:05:02,2025-04-02T02:10:04,5671,G45671
FRU,APL,5Y,C-99,2025-04-02T08:24:17,2025-04-02T16:48:34,3898,5Y3898
FRU,SEN,IB,A320,2025-04-03T06:08:13,2025-04-03T12:16:26,7819,IB7819
BMU,HOK,CV,717,2025-04-06T01:55:08,2025-04-06T03:50:16,8406,CV8406
BMU,YNM,9W,787,2025-04-01T17:15:11,2025-04-02T10:30:22,2897,9W2897
BMU,KLN,VS,B734,2025-04-05T12:06:06,2025-04-06T00:12:12,5039,VS5039
BMU,DWD,AB,B777,2025-04-04T10:04:32,2025-04-04T20:09:04,3646,AB3646
BMU,GOJ,XP,B712,2025-04-06T11:13:45,2025-04-06T22:27:30,4622,XP4622
BMU,TFF,AF,MD11,2025-04-06T21:10:40,2025-04-07T18:21:20,3128,AF3128
BMU,MQF,FX,A320,2025-04-07T10:05:21,2025-04-07T20:10:42,5652,FX5652
BMU,PFJ,4O,B742,2025-04-03T14:50:12,2025-04-04T05:40:24,5765,4O5765
BMU,LUN,bxr,B738,2025-04-01T11:06:58,2025-04-01T22:13:56,7987,bxr7987
BMU,MZW,NH,B763,2025-04-03T15:00:11,2025-04-04T06:00:22,3524,NH3524
BMU,RKH,DL,777,2025-04-06T18:41:46,2025-04-07T13:23:32,3153,DL3153
BMU,PEW,VS,777,2025-04-07T07:47:39,2025-04-07T15:35:18,6303,VS6303
BMU,EPA,FI,767,2025-04-04T17:16:57,2025-04-05T10:33:54,7372,FI7372
BMU,DLS,MQ,A310,2025-04-06T14:46:47,2025-04-07T05:33:34,1441,MQ1441
LPM,AFS,K4,A300,2025-04-02T14:00:46,2025-04-03T04:01:32,1947,K41947
LPM,OVR,CV,757,2025-04-01T13:54:15,2025-04-02T03:48:30,9183,CV9183
LPM,STT,FJ,MD83,2025-04-05T16:23:43,2025-04-06T08:47:26,6539,FJ6539
LPM,PPC,OO,757,2025-04-03T11:12:41,2025-04-03T22:25:22,2009,OO2009
LPM,CXR,MT,A321,2025-04-01T08:09:24,2025-04-01T16:18:48,6216,MT6216
LPM,NPA,NZ,A330,2025-04-06T14:00:07,2025-04-07T04:00:14,7132,NZ7132
LPM,PAT,EY,MD-80,2025-04-06T11:28:01,2025-04-06T22:56:02,6074,EY6074
LPM,VPZ,AM,B735,2025-04-03T14:09:35,2025-04-04T04:19:10,5120,AM5120
LPM,GMP,FJ,764,2025-04-07T08:23:14,2025-04-07T16:46:28,1010,FJ1010
LPM,AWA,VX,CRJ9,2025-04-02T16:22:54,2025-04-03T08:45:48,4572,VX4572
LPM,PTZ,EK,EMB,2025-04-05T14:13:35,2025-04-06T04:27:10,2848,EK2848
LPM,KWJ,AI,B753,2025-04-02T08:09:51,2025-04-02T16:19:42,9142,AI9142
LPD,JTY,VS,A318,2025-04-01T12:04:35,2025-04-02T00:09:10,5437,VS5437
LPD,PSS,LH,DC-9,2025-04-03T03:40:55,2025-04-03T07:21:50,5882,LH5882
LPD,CMU,SQ,B752,2025-04-07T18:17:15,2025-04-08T12:34:30,7343,SQ7343
LPD,PRZ,SQ,DC-8,2025-04-04T08:08:45,2025-04-04T16:17:30,8210,SQ8210
LPD,DWC,CM,B764,2025-04-03T15:23:12,2025-04-04T06:46:24,7096,CM7096
LPD,GMP,AI,CRJ7,2025-04-02T17:47:10,2025-04-03T11:34:20,1134,AI1134
LPD,WBM,AA,M90,2025-04-07T18:25:46,2025-04-08T12:51:32,3975,AA3975
LPD,TKG,TZ,A124,2025-04-05T21:40:57,2025-04-06T19:21:54,2418,TZ2418
LPD,ASF,AA,767,2025-04-07T13:51:30,2025-04-08T03:43:00,2047,AA2047
LPD,FAB,KZ,764,2025-04-05T09:51:17,2025-04-05T19:42:34,2985,KZ2985
LPD,BNG,2Q,B735,2025-04-04T07:09:23,2025-04-04T14:18:46,2316,2Q2316
LPD,IQQ,NH,A330,2025-04-03T02:25:40,2025-04-03T04:51:20,9975,NH9975
YAM,GMP,ER,C-99,2025-04-05T11:32:54,2025-04-05T23:05:48,5294,ER5294
YAM,JGN,EV,CRJ9,2025-04-01T11:49:46,2025-04-01T23:39:32,2104,EV2104
YAM,ZLT,KE,IL-96,2025-04-06T02:11:19,2025-04-06T04:22:38,1741,KE1741
YAM,TLD,XJ,B753,2025-04-04T15:24:43,2025-04-05T06:49:26,6377,XJ6377
YAM,DRW,NW,MD-80,2025-04-02T17:01:40,2025-04-03T10:03:20,5624,NW5624
YAM,CSM,MX,DH8,2025-04-03T01:58:53,2025-04-03T03:57:46,7597,MX7597
YAM,SHG,LP,E170,2025-04-07T05:15:32,2025-04-07T10:31:04,9895,LP9895
YAM,MNM,CK,CRJ9,2025-04-04T00:19:28,2025-04-04T00:38:56,3419,CK3419
YAM,WNZ,FX,767,2025-04-07T12:54:22,2025-04-08T01:48:44,9546,FX9546
YAM,YWB,KZ,A310,2025-04-03T02:06:57,2025-04-03T04:13:54,3427,KZ3427
YAM,MYC,QK,MD-87,2025-04-03T04:55:26,2025-04-03T09:50:52,2838,QK2838
OMA,WRE,MT,A319,2025-04-05T14:13:05,2025-04-06T04:26:10,5355,MT5355
OMA,BOX,KZ,L1011,2025-04-04T16:15:43,2025-04-05T08:31:26,6981,KZ6981
OMA,DWD,NW,B763,2025-04-01T13:12:26,2025-04-02T02:24:52,5089,NW5089
OMA,KSN,QF,A321,2025-04-05T10:35:38,2025-04-05T21:11:16,4490,QF4490
OMA,YHE,OO,B742,2025-04-07T02:28:34,2025-04-07T04:57:08,8694,OO8694
OMA,MHT,EK,MD-11,2025-04-05T02:17:36,2025-04-05T04:35:12,6518,EK6518
OMA,BUC,DH,IL-62,2025-04-06T16:05:46,2025-04-07T08:11:32,2960,DH2960
OMA,SGZ,VS,B735,2025-04-04T16:19:32,2025-04-05T08:39:04,3887,VS3887
OMA,MUN,KZ,SA-227,2025-04-04T05:23:58,2025-04-04T10:47:56,5306,KZ5306
OMA,IXS,MX,DC-9,2025-04-07T14:18:47,2025-04-08T04:37:34,3593,MX3593
OMA,INH,AB,MD-88,2025-04-04T17:11:50,2025-04-05T10:23:40,5826,AB5826
OMA,YSG,G4,MD-80,2025-04-05T02:53:26,2025-04-05T05:46:52,5966,G45966
OMA,WNZ,ER,B753,2025-04-07T12:59:59,2025-04-08T01:59:58,3827,ER3827
OMA,CDJ,AF,B738,2025-04-07T08:16:28,2025-04-07T16:32:56,2151,AF2151
OMA,LVP,VS,A343,2025-04-05T13:24:56,2025-04-06T02:49:52,5231,VS5231
LYG,OMB,KE,MD-80,2025-04-05T13:30:58,2025-04-06T03:01:56,5652,KE5652
LYG,VTN,KR,B712,2025-04-02T11:57:15,2025-04-02T23:54:30,7594,KR7594
LYG,STA,XE,IL-62,2025-04-02T09:05:54,2025-04-02T18:11:48,7545,XE7545
LYG,DWD,LX,B752,2025-04-03T08:08:17,2025-04-03T16:16:34,7778,LX7778
LYG,TBG,OZ,A318,2025-04-04T05:41:46,2025-04-04T11:23:32,1699,OZ1699
LYG,STW,SE,MD-88,2025-04-06T07:17:04,2025-04-06T14:34:08,4994,SE4994
LYG,LUN,KZ,B739,2025-04-07T12:30:18,2025-04-08T01:00:36,3524,KZ3524
LYG,LIL,LX,MD11,2025-04-06T09:50:06,2025-04-06T19:40:12,3761,LX3761
LYG,DLS,AS,MD-11,2025-04-03T10:30:58,2025-04-03T21:01:56,9544,AS9544
LYG,HLZ,TK,757,2025-04-04T11:17:36,2025-04-04T22:35:12,3243,TK3243
MSN,OGD,VX,B788,2025-04-01T02:07:52,2025-04-01T04:15:44,7183,VX7183
MSN,KMG,BR,B764,2025-04-05T14:00:15,2025-04-06T04:00:30,8549,BR8549
MSN,GGG,NK,B789,2025-04-04T01:27:37,2025-04-04T02:55:14,7955,NK7955
MSN,DWC,AY,B772,2025-04-02T13:12:31,2025-04-03T02:25:02,8464,AY8464
MSN,BSR,AA,757,2025-04-06T12:11:05,2025-04-07T00:22:10,9523,AA9523
MSN,ZQN,bxr,DC-9,2025-04-01T15:56:35,2025-04-02T07:53:10,1927,bxr1927
MSN,SDR,AM,A340,2025-04-05T07:29:06,2025-04-05T14:58:12,2033,AM2033
MSN,CXR,SK,MD-11,2025-04-02T15:27:17,2025-04-03T06:54:34,8821,SK8821
MSN,UVF,9W,B736,2025-04-04T04:49:33,2025-04-04T09:39:06,7444,9W7444
MSN,OWB,MT,764,2025-04-02T00:42:48,2025-04-02T01:25:36,7875,MT7875
MSN,ALM,US,MD11,2025-04-04T02:06:05,2025-04-04T04:12:10,1092,US1092
NJF,GZW,EZ,E175,2025-04-01T00:47:51,2025-04-01T01:35:42,4725,EZ4725
NJF,VCE,XJ,C-99,2025-04-07T03:33:26,2025-04-07T07:06:52,8106,XJ8106
NJF,LVS,BA,E175,2025-04-06T13:28:00,2025-04-07T02:56:00,8463,BA8463
NJF,BOU,F9,CRJ9,2025-04-03T04:26:59,2025-04-03T08:53:58,3948,F93948
NJF,SHD,bxr,A320,2025-04-07T11:38:38,2025-04-07T23:17:16,7705,bxr7705
NJF,AFS,NK,DC-9,2025-04-02T02:20:14,2025-04-02T04:40:28,5387,NK5387
NJF,BKK,XP,A388,2025-04-05T06:52:29,2025-04-05T13:44:58,2356,XP2356
NJF,HIW,2Q,M90,2025-04-06T08:59:17,2025-04-06T17:58:34,2816,2Q2816
NJF,HOA,LH,CRJ7,2025-04-03T04:16:01,2025-04-03T08:32:02,3960,LH3960
NJF,ABA,QX,MD83,2025-04-04T05:00:58,2025-04-04T10:01:56,7648,QX7648
MNM,IPL,BA,717,2025-04-03T03:07:49,2025-04-03T06:15:38,2315,BA2315
MNM,JSI,CX,A333,2025-04-03T09:32:23,2025-04-03T19:04:46,9577,CX9577
MNM,ABM,LH,A340,2025-04-02T15:50:33,2025-04-03T07:41:06,9560,LH9560
MNM,SNR,AS,B-99,2025-04-06T07:04:52,2025-04-06T14:09:44,6183,AS6183
MNM,GOV,Y4,B738,2025-04-04T16:25:32,2025-04-05T08:51:04,9897,Y49897
MNM,YBR,SY,B777,2025-04-01T01:12:36,2025-04-01T02:25:12,2775,SY2775
MNM,YNS,YX,DH8,2025-04-06T01:16:11,2025-04-06T02:32:22,8099,YX8099
MNM,LXR,AM,B763,2025-04-04T11:28:31,2025-04-04T22:57:02,7829,AM7829
MNM,INH,AI,MD-87,2025-04-03T16:23:15,2025-04-04T08:46:30,1429,AI1429
MNM,HRG,WO,B748,2025-04-07T11:23:55,2025-04-07T22:47:50,9851,WO9851
MNM,ERL,WI,B748,2025-04-05T11:20:15,2025-04-05T22:40:30,7243,WI7243
MNM,MKQ,AB,CRJ9,2025-04-06T15:46:31,2025-04-07T07:33:02,6178,AB6178
MNM,MKQ,OO,B773,2025-04-06T15:46:31,2025-04-07T07:33:02,1691,OO1691
MNM,LDG,JL,B738,2025-04-05T08:06:15,2025-04-05T16:12:30,3796,JL3796
MNM,APT,bxr,A319,2025-04-04T01:17:13,2025-04-04T02:34:26,6083,bxr6083
HIW,OGN,EZ,737,2025-04-03T01:37:26,2025-04-03T03:14:52,4074,EZ4074
HIW,HOA,NK,B733,2025-04-01T11:43:55,2025-04-01T23:27:50,9626,NK9626
HIW,GII,KZ,A320,2025-04-04T15:20:53,2025-04-05T06:41:46,3937,KZ3937
HIW,AOG,WO,MD-87,2025-04-05T01:16:41,2025-04-05T02:33:22,1569,WO1569
HIW,NOC,OO,777,2025-04-01T10:48:49,2025-04-01T21:37:38,4129,OO4129
HIW,YWS,XE,B789,2025-04-05T09:10:08,2025-04-05T18:20:16,9866,XE9866
HIW,RKH,SK,A320,2025-04-01T13:07:48,2025-04-02T02:15:36,3360,SK3360
HIW,PTP,TZ,E175,2025-04-03T16:07:49,2025-04-04T08:15:38,1546,TZ1546
HIW,GGG,CV,E175,2025-04-04T12:37:23,2025-04-05T01:14:46,6239,CV6239
HIW,LPM,MX,B764,2025-04-01T07:42:17,2025-04-01T15:24:34,1224,MX1224
HIW,VLC,FX,767,2025-04-03T11:54:46,2025-04-03T23:49:32,3260,FX3260
HIW,OVR,XE,DC-9,2025-04-02T21:24:34,2025-04-03T18:49:08,1987,XE1987
HIW,VLC,SQ,MD90,2025-04-02T11:54:46,2025-04-02T23:49:32,1249,SQ1249
HIW,CXR,CK,EMB,2025-04-01T03:53:03,2025-04-01T07:46:06,3732,CK3732
SUY,MKQ,2Q,A320,2025-04-06T09:12:30,2025-04-06T18:25:00,1850,2Q1850
SUY,SHG,AF,A359,2025-04-07T04:17:57,2025-04-07T08:35:54,2580,AF2580
SUY,YAM,TA,A300,2025-04-05T08:49:52,2025-04-05T17:39:44,3655,TA3655
SUY,JGO,A8,717,2025-04-07T06:07:02,2025-04-07T12:14:04,4291,A84291
SUY,MQF,FJ,B738,2025-04-06T03:57:50,2025-04-06T07:55:40,4611,FJ4611
SUY,ERL,AI,B773,2025-04-05T02:24:22,2025-04-05T04:48:44,7289,AI7289
SUY,BGL,QK,B753,2025-04-03T05:07:53,2025-04-03T10:15:46,6747,QK6747
SUY,NYM,MU,B772,2025-04-03T02:28:57,2025-04-03T04:57:54,3804,MU3804
SUY,ILY,B6,SSR-100,2025-04-06T06:51:32,2025-04-06T13:43:04,7759,B67759
SUY,SUX,CK,B712,2025-04-04T09:05:02,2025-04-04T18:10:04,6879,CK6879
SUY,QPD,JL,B712,2025-04-05T11:50:22,2025-04-05T23:40:44,7223,JL7223
SUY,HOA,5Y,A346,2025-04-03T10:49:06,2025-04-03T21:38:12,6483,5Y6483
SUY,LDG,MU,787,2025-04-07T03:50:35,2025-04-07T07:41:10,3861,MU3861
SUY,FUL,AS,A124,2025-04-06T09:21:42,2025-04-06T18:43:24,5381,AS5381
PKV,SJE,QK,A343,2025-04-07T11:50:05,2025-04-07T23:40:10,2050,QK2050
PKV,MCK,EV,A388,2025-04-05T09:14:31,2025-04-05T18:29:02,8778,EV8778
PKV,HOA,MQ,SSR-100,2025-04-04T07:35:06,2025-04-04T15:10:12,4352,MQ4352
PKV,AVK,NW,MD90,2025-04-07T05:39:13,2025-04-07T11:18:26,6054,NW6054
PKV,HKT,F9,B-99,2025-04-06T09:09:42,2025-04-06T18:19:24,3901,F93901
PKV,LVS,EV,CRJ9,2025-04-02T09:57:11,2025-04-02T19:54:22,5498,EV5498
PKV,INH,AI,B733,2025-04-06T10:20:42,2025-04-06T20:41:24,7513,AI7513
PKV,JGO,TZ,A310,2025-04-03T04:26:24,2025-04-03T08:52:48,1573,TZ1573
PKV,YWB,CP,777,2025-04-06T05:46:18,2025-04-06T11:32:36,3396,CP3396
PKV,KCO,OZ,DH8,2025-04-05T02:09:30,2025-04-05T04:19:00,2956,OZ2956
PKV,RKH,MT,MD83,2025-04-07T08:51:47,2025-04-07T17:43:34,3437,MT3437
JVL,STA,FJ,PA-31,2025-04-07T07:30:41,2025-04-07T15:01:22,5341,FJ5341
JVL,BKK,BF,B788,2025-04-03T15:32:24,2025-04-04T07:04:48,1020,BF1020
JVL,AOG,YV,A300,2025-04-04T11:33:26,2025-04-04T23:06:52,3713,YV3713
JVL,YNM,CV,A340,2025-04-06T01:19:54,2025-04-06T02:39:48,6044,CV6044
JVL,FNU,QF,B744,2025-04-01T08:42:54,2025-04-01T17:25:48,1859,QF1859
JVL,QLT,5Y,CRJ7,2025-04-04T08:53:56,2025-04-04T17:47:52,2733,5Y2733
JVL,PEW,NW,A359,2025-04-03T12:48:20,2025-04-04T01:36:40,2440,NW2440
JVL,INH,BF,B763,2025-04-03T16:32:24,2025-04-04T09:04:48,5340,BF5340
JVL,PPP,A8,SA-227,2025-04-03T16:05:23,2025-04-04T08:10:46,9525,A89525
JVL,AFS,EZ,B-99,2025-04-06T11:40:26,2025-04-06T23:20:52,6359,EZ6359
JVL,ALM,MQ,MD90,2025-04-04T02:05:24,2025-04-04T04:10:48,2124,MQ2124
JVL,CXI,UA,B789,2025-04-02T09:12:07,2025-04-02T18:24:14,7928,UA7928
JVL,RKH,NZ,A300,2025-04-03T01:14:34,2025-04-03T02:29:08,1945,NZ1945
JVL,TBH,QX,E170,2025-04-02T14:55:23,2025-04-03T05:50:46,1721,QX1721
EPA,BUC,OZ,A320,2025-04-07T15:46:42,2025-04-08T07:33:24,1062,OZ1062
EPA,YAM,BF,B742,2025-04-05T10:39:44,2025-04-05T21:19:28,7458,BF7458
EPA,XIC,FI,A319,2025-04-06T20:30:48,2025-04-07T17:01:36,2496,FI2496
EPA,WRE,SY,B753,2025-04-03T11:52:48,2025-04-03T23:45:36,9807,SY9807
EPA,LXR,QK,B736,2025-04-01T13:17:59,2025-04-02T02:35:58,7666,QK7666
EPA,CFC,SY,B764,2025-04-01T01:17:31,2025-04-01T02:35:02,8390,SY8390
EPA,GOU,LH,B772,2025-04-03T10:12:56,2025-04-03T20:25:52,5329,LH5329
EPA,NDN,KZ,727,2025-04-05T16:23:00,2025-04-06T08:46:00,8055,KZ8055
EPA,ASF,5X,IL-96,2025-04-04T15:47:29,2025-04-05T07:34:58,7588,5X7588
EPA,AOG,TK,A380,2025-04-05T21:54:38,2025-04-06T19:49:16,1897,TK1897
EPA,BNG,KE,B737,2025-04-04T11:03:51,2025-04-04T22:07:42,2371,KE2371
EPA,AFS,IB,B737,2025-04-06T17:05:51,2025-04-07T10:11:42,6040,IB6040
EPA,YYR,A8,M90,2025-04-01T11:06:44,2025-04-01T22:13:28,1324,A81324
EPA,PKV,bxr,767,2025-04-04T14:48:48,2025-04-05T05:37:36,9197,bxr9197
MCK,SUX,OZ,PA-31,2025-04-05T00:29:10,2025-04-05T00:58:20,5556,OZ5556
MCK,SUY,WO,764,2025-04-02T09:14:04,2025-04-02T18:28:08,4556,WO4556
MCK,HCJ,ER,B748,2025-04-07T13:52:51,2025-04-08T03:45:42,1885,ER1885
MCK,JGO,KL,B742,2025-04-01T04:48:09,2025-04-01T09:36:18,3205,KL3205
MCK,ZQN,AS,MD83,2025-04-01T14:51:24,2025-04-02T05:42:48,2180,AS2180
MCK,GWL,KZ,B748,2025-04-03T14:20:25,2025-04-04T04:40:50,2413,KZ2413
MCK,PKN,NH,IL-62,2025-04-04T16:44:31,2025-04-05T09:29:02,1441,NH1441
MCK,OMB,Y4,B-99,2025-04-04T13:24:15,2025-04-05T02:48:30,1400,Y41400
MCK,XAP,EK,B748,2025-04-03T10:12:06,2025-04-03T20:24:12,8119,EK8119
MCK,NYM,5Y,SA-227,2025-04-03T09:22:25,2025-04-03T18:44:50,9858,5Y9858
MCK,YBR,MU,A333,2025-04-04T01:13:38,2025-04-04T02:27:16,9313,MU9313
MCK,TFF,AI,B-99,2025-04-03T06:53:42,2025-04-03T13:47:24,4235,AI4235
MCK,BAD,NZ,787,2025-04-05T01:12:04,2025-04-05T02:24:08,9832,NZ9832
MCK,HYC,BF,A124,2025-04-04T08:11:27,2025-04-04T16:22:54,6409,BF6409
HKT,CMU,DL,B777,2025-04-07T06:08:39,2025-04-07T12:17:18,8157,DL8157
HKT,KYP,CZ,L1011,2025-04-05T01:32:41,2025-04-05T03:05:22,1554,CZ1554
HKT,AVK,NW,717,2025-04-05T04:50:36,2025-04-05T09:41:12,8554,NW8554
HKT,MTC,HA,EMB,2025-04-04T16:19:59,2025-04-05T08:39:58,6512,HA6512
HKT,VAG,9W,717,2025-04-07T18:01:18,2025-04-08T12:02:36,4199,9W4199
HKT,CRE,NK,CRJ7,2025-04-05T17:26:06,2025-04-06T10:52:12,6350,NK6350
HKT,SZT,MU,SA-227,2025-04-02T19:19:46,2025-04-03T14:39:32,7059,MU7059
HKT,TKG,SY,DC10,2025-04-07T01:53:45,2025-04-07T03:47:30,2054,SY2054
HKT,MUN,FL,DC-8,2025-04-01T19:29:53,2025-04-02T14:59:46,2248,FL2248
HKT,DWD,SY,A319,2025-04-02T06:50:33,2025-04-02T13:41:06,4480,SY4480
XCH,CMU,BF,A388,2025-04-07T04:56:26,2025-04-07T09:52:52,3398,BF3398
XCH,CDJ,AB,SA-227,2025-04-06T18:48:10,2025-04-07T13:36:20,4042,AB4042
XCH,ZMT,G4,764,2025-04-01T14:47:16,2025-04-02T05:34:32,9921,G49921
XCH,ARH,DL,764,2025-04-07T11:15:59,2025-04-07T22:31:58,9759,DL9759
XCH,QLT,VX,B764,2025-04-02T12:30:22,2025-04-03T01:00:44,3316,VX3316
XCH,SZT,OZ,A321,2025-04-01T20:22:24,2025-04-02T16:44:48,9768,OZ9768
XCH,YAM,LP,B773,2025-04-05T18:03:39,2025-04-06T12:07:18,4104,LP4104
XCH,VCE,ER,A124,2025-04-01T12:36:19,2025-04-02T01:12:38,2016,ER2016
XCH,HLZ,SQ,A388,2025-04-01T08:32:20,2025-04-01T17:04:40,2237,SQ2237
XCH,BMV,K4,MD11,2025-04-04T02:56:13,2025-04-04T05:52:26,1544,K41544
XCH,VTN,XE,L1011,2025-04-03T17:44:04,2025-04-04T11:28:08,5402,XE5402
XCH,HIW,IB,DC10,2025-04-06T06:30:22,2025-04-06T13:00:44,4180,IB4180
XCH,MNM,FI,A319,2025-04-03T18:07:49,2025-04-04T12:15:38,9562,FI9562
XCH,GLW,A8,764,2025-04-01T19:07:58,2025-04-02T14:15:56,1339,A81339
MTC,YWS,5Y,B753,2025-04-01T03:34:35,2025-04-01T07:09:10,5557,5Y5557
MTC,VTB,XE,747,2025-04-02T08:28:24,2025-04-02T16:56:48,6113,XE6113
MTC,DWC,KL,A343,2025-04-02T12:54:42,2025-04-03T01:49:24,3115,KL3115
MTC,AIZ,CP,CRJ7,2025-04-02T01:05:40,2025-04-02T02:11:20,5168,CP5168
MTC,VAG,KE,B773,2025-04-06T09:12:21,2025-04-06T18:24:42,1201,KE1201
MTC,NKC,EI,DH8,2025-04-01T07:41:17,2025-04-01T15:22:34,3946,EI3946
MTC,SHG,KL,A343,2025-04-01T05:45:02,2025-04-01T11:30:04,6117,KL6117
MTC,MTN,IB,L1011,2025-04-07T00:44:24,2025-04-07T01:28:48,2576,IB2576
MTC,ILY,WO,A300,2025-04-06T06:11:49,2025-04-06T12:23:38,1852,WO1852
MTC,CFN,OO,737,2025-04-03T06:04:47,2025-04-03T12:09:34,4586,OO4586
MTC,BQA,WN,757,2025-04-04T14:50:53,2025-04-05T05:41:46,2783,WN2783
